DateTime,000661.SZ,300832.SZ,300702.SZ,300639.SZ,300630.SZ,300558.SZ,300529.SZ,300497.SZ,300482.SZ,300347.SZ,300122.SZ,300009.SZ,002821.SZ,688399.SH,603707.SH,603658.SH,000808.SH
2020/2/20,244.941916,NaN,53.853671,30.37804,41.908268,82.351204,49.606678,13.883569,60.059962,79.675223,60.607348,12.685676,179.599034,85.402778,40.496755,117.258572,11159.1867
2020/2/21,244.133131,NaN,59.240034,30.000303,41.374653,82.920176,50.296313,14.821648,61.585389,80.322989,60.258457,12.563551,185.476566,85.045278,39.960881,116.18463,11235.5084
2020/2/24,235.930458,NaN,61.291034,32.008276,40.697874,82.730519,49.366351,15.271926,65.902448,80.233298,62.591043,12.830698,194.317812,88.99764,39.731221,119.247354,11297.6251
2020/2/25,235.93545,NaN,62.714786,32.75381,40.281394,83.119815,49.293208,15.790996,66.89946,81.598589,63.448318,12.914659,190.545813,92.950001,39.71591,122.310078,11424.7918
2020/2/26,235.645885,NaN,59.498898,30.954587,39.30527,78.747715,47.647489,15.428272,62.941325,78.210275,58.912735,12.281138,182.612641,88.372015,37.740832,116.64205,11078.7588
2020/2/27,241.786657,NaN,58.702394,31.034111,41.804148,83.938337,49.058105,15.422018,64.157678,78.708556,60.069059,12.235342,186.783793,86.276667,39.723565,119.734605,11148.0155
2020/2/28,241.636882,NaN,55.576113,29.672268,40.281394,80.554451,47.187732,14.571493,64.815706,76.23708,59.789946,11.62472,178.700939,94.836806,38.292017,119.376625,10824.5615
2020/3/2,242.635382,NaN,58.114971,30.218993,41.530833,80.354811,47.177283,14.915456,70.807744,76.187252,61.195479,12.097952,184.508619,92.781181,38.529332,116.224406,11066.728
2020/3/3,256.714225,NaN,60.942563,30.686195,41.589401,82.800393,48.640145,16.410128,76.759901,78.549106,62.601011,12.166647,193.73904,92.950001,38.827891,127.848835,11313.4121
2020/3/4,256.075185,NaN,61.22134,29.970482,43.07311,80.005443,47.605693,17.135576,73.320212,79.047388,63.149268,11.930031,190.136681,90.358126,38.950376,126.188202,11315.2427
2020/3/5,265.650796,NaN,65.1043,30.218993,45.604525,82.151565,48.708063,17.129322,75.962292,80.422645,65.272519,12.105585,192.361961,88.630209,39.539837,134.630581,11570.0745
2020/3/6,263.603872,NaN,65.1043,29.751792,46.040527,85.964675,50.949376,16.766598,76.420918,79.79481,65.790871,12.113217,189.817358,89.126737,39.233624,133.397536,11608.361
2020/3/9,255.161558,NaN,65.144125,29.364114,46.678262,81.353008,48.378919,16.51019,80.060009,77.163883,64.574737,11.746844,181.724525,82.254792,37.664279,130.265205,11368.8305
2020/3/10,256.789113,NaN,67.324557,29.125543,45.910377,80.983675,49.988067,17.129322,75.473757,77.233643,65.74103,11.838437,180.616874,79.940973,38.506366,128.375862,11366.9535
2020/3/11,256.609383,NaN,68.051367,28.459532,44.563326,77.290348,48.222184,16.791614,79.362101,76.037767,64.245783,11.609454,175.417903,80.348126,37.786764,125.173924,11221.1389
2020/3/12,243.129639,NaN,65.462727,27.157332,43.294364,73.816625,47.051895,16.666536,76.221515,73.1577,61.554338,11.281245,171.705777,86.395834,36.745638,123.304469,10871.4675
2020/3/13,241.596943,NaN,67.682984,26.25275,42.546003,70.372847,46.916058,16.51019,72.21353,72.45014,60.677126,10.861442,169.690053,83.416667,36.332249,119.92354,10653.9896
2020/3/16,226.16014,NaN,67.354426,25.348169,39.702227,65.062442,43.990335,16.103689,71.146728,67.287943,57.636791,10.571396,160.160267,81.023403,33.851919,113.718541,10323.2732
2020/3/17,229.759731,NaN,67.702896,24.861086,38.869268,66.17044,43.990335,15.866042,69.262376,66.799627,57.81622,10.357679,158.364077,76.336181,35.67389,111.80931,10310.4741
2020/3/18,228.157139,NaN,68.708483,24.95055,38.556908,67.43815,44.30903,15.134341,66.600356,66.391036,58.912735,10.350046,163.652859,75.472223,34.793526,109.382996,10228.5766
2020/3/19,223.319409,NaN,67.951804,24.50323,37.743471,66.639593,44.664296,15.24691,64.386991,65.235023,58.354509,10.983566,161.098277,72.939931,34.142822,103.595641,10105.4379
2020/3/20,231.152638,NaN,72.043847,26.083763,40.476619,66.180422,47.177283,16.403874,66.630266,67.337771,59.500865,10.975933,170.1391,76.812848,35.78872,104.420986,10370.5064
2020/3/23,229.709806,NaN,74.174497,25.447573,41.452743,62.676753,45.322584,15.816011,68.444827,65.673511,60.467792,10.907238,159.661326,75.869445,34.272963,99.568358,10183.7654
2020/3/24,239.140634,NaN,69.893284,25.556918,40.932144,64.513434,46.289117,15.209387,70.289298,67.566981,63.348634,10.907238,168.213185,75.452362,35.268157,102.074223,10433.6483
2020/3/25,251.072703,NaN,71.187604,26.988344,42.03191,67.887338,48.69239,15.809758,72.941348,70.207873,65.591505,11.067527,172.583914,79.424584,38.452779,110.983966,10800.946
2020/3/26,256.0652,NaN,72.97974,29.105662,41.908268,68.526184,49.476066,15.822265,78.753924,70.596532,66.488653,11.128589,174.2404,82.721528,38.261395,115.747098,11025.3433
2020/3/27,265.086644,NaN,77.05187,28.708043,42.96899,70.153244,49.178269,17.404492,77.667182,67.885881,67.026942,11.15912,170.468401,79.553681,37.648968,114.702988,10986.384
2020/3/30,265.431126,NaN,81.442602,27.793521,41.309578,68.825643,48.378919,17.166845,79.142759,63.361484,65.731061,10.601927,164.441186,76.812848,37.082473,114.116297,10830.3317
2020/3/31,273.588867,NaN,85.126436,27.813402,41.556863,70.073388,49.460392,16.935452,77.288317,63.829869,67.176467,10.533232,171.326581,74.369931,38.644162,115.836593,10960.2873
2020/4/1,264.652296,NaN,83.314388,28.827329,41.485281,70.971765,49.627576,15.697188,74.526596,64.627119,65.491822,10.434006,166.646509,72.681737,38.299672,114.553829,10799.8182
2020/4/2,267.013748,NaN,81.343039,28.439651,40.860561,72.119691,51.968155,15.822265,75.354116,65.474198,65.880586,10.517967,171.665861,73.545695,38.705405,116.085191,10958.2921
2020/4/3,267.987285,NaN,82.438233,28.936674,42.884392,74.565272,51.257622,16.184989,79.332191,65.51406,66.538495,10.5256,172.264591,73.227917,39.363764,116.751433,11061.1095
2020/4/7,277.058653,NaN,85.962766,29.702089,43.105647,76.831178,54.329631,17.504554,79.940368,69.799282,69.439274,11.014097,177.683098,75.899237,41.354153,118.819766,11362.8625
2020/4/8,274.217922,NaN,87.615513,29.751792,43.014542,78.41831,52.908566,17.898547,78.095897,71.054951,68.492284,11.189651,177.244029,75.869445,41.484294,119.217522,11352.8815
2020/4/9,279.729639,NaN,96.377064,29.562923,45.227091,81.36299,56.445556,17.93607,76.700081,76.356667,72.958089,11.563657,190.665559,77.160417,43.467027,125.233587,11679.0314
2020/4/10,275.266346,NaN,91.598036,29.543042,44.068756,88.809535,56.461229,17.842262,77.238467,74.742235,73.765522,11.563657,183.949805,79.235903,42.793357,125.243531,11512.957
2020/4/13,280.278814,NaN,94.326065,30.706076,44.231444,88.190653,59.010788,18.311301,77.368078,74.542922,77.832595,11.525493,182.9619,79.970764,42.793357,123.523235,11596.9309
2020/4/14,284.073112,NaN,93.977594,30.189172,44.914731,88.879409,59.543687,19.136811,82.253434,75.399967,78.689869,11.609454,188.68975,79.335209,43.681377,125.691007,11823.0592
2020/4/15,279.445067,NaN,89.756119,33.161369,44.927746,86.80316,57.448661,18.805356,84.735992,75.499623,76.91551,11.540759,183.56063,81.430556,42.257483,125.541848,11800.6775
2020/4/16,281.052651,NaN,84.877528,34.592795,46.00799,87.51188,58.671195,18.280032,90.71806,76.605808,77.184654,11.739211,183.141519,94.240973,42.18093,131.756791,11914.6841
2020/4/17,277.13354,NaN,85.524688,33.360178,45.689123,87.731483,59.350381,18.198732,86.34118,76.675568,77.413925,11.388103,181.914123,91.361112,41.568503,125.303194,11783.7093
2020/4/20,274.172989,NaN,85.823377,36.461601,45.318195,88.420238,60.165404,18.480156,89.84069,78.668694,77.553482,11.98346,188.18083,107.974931,42.157964,129.787897,11951.5764
2020/4/21,272.590367,NaN,88.969571,34.562973,46.496052,88.939301,60.081811,18.936687,93.071007,76.735361,77.603323,11.678149,188.420322,113.645279,41.874716,127.291976,11838.1938
2020/4/22,293.858407,NaN,88.501624,34.284641,47.667401,90.266902,61.152835,18.53644,91.894533,76.745327,79.048729,11.517861,189.787422,108.332431,43.75793,128.515077,12016.2323
2020/4/23,292.041138,NaN,85.345475,35.189222,49.41141,89.74784,60.09226,18.073655,93.190648,75.429864,79.945877,11.914765,186.105233,127.985001,43.030673,136.927624,12081.9392
2020/4/24,287.06861,NaN,83.623033,32.803512,46.866979,92.153493,60.14973,17.973593,86.231509,75.170757,77.084971,11.319408,185.426672,143.079445,42.479488,131.886062,11822.3748
2020/4/27,298.656197,NaN,84.718227,33.39994,47.986268,97.88314,61.04312,18.186224,84.247456,77.572474,82.348241,11.403369,187.681888,125.323612,43.18378,133.745573,11980.4097
2020/4/28,300.393586,NaN,83.593164,32.336311,47.908178,96.825052,60.954304,18.079909,82.731999,78.977628,83.823551,11.15912,191.902934,126.71389,43.658411,141.810083,11980.8292
2020/4/29,296.369633,NaN,80.914917,30.855182,47.433131,98.801481,59.355605,17.166845,79.062998,76.16732,81.99935,10.953035,191.932871,117.180556,43.796207,140.32844,11838.0723
